"model","predictors","elpd","elpd_se","elpd_loo","elpd_loo_se","p_loo_loo","p_loo_loo_se","pareto_k_max","F_score","MCC","n_correct_test","n_correct_train","percent_pos","percent_neg","percent_total","elpd_diff","elpd_diff_se","elpd_diff_loo","elpd_diff_se_loo","percent_test","percent_train","n_correct_test_adj","n_correct_train_adj","percent_test_adj","percent_train_adj"
"c3.1","dpi_idx, cell_idx",-316.443550318839,10.4040570767232,-316.780150033803,10.5102852472086,5.17613611644177,0.352980398881683,0.153628983381654,0.631578947368421,0.537706188957448,406,3652,56.4263322884012,92.8714859437751,84.0304182509506,-15.0187426283391,10.4036392620236,-13.5216535839959,5.47046860321912,72.2419928825623,72.2024515618822,1105,9943,84.0304182509506,84.0135192226447
"c3.2","dpi_idx, assay_idx",-314.515423610126,10.3563606422659,-315.051653130455,10.4684869010862,4.51166016315754,0.266792404510612,0.124553932253039,0.618374558303887,0.522723058242143,400,3630,54.858934169279,92.7710843373494,83.574144486692,-13.0906159196261,9.89701196638927,-11.7931566806477,5.17501992480304,71.1743772241993,71.767497034401,1099,9921,83.574144486692,83.8276299112801
"c3.3","dpi_idx, log10_dose_pfu",-318.735539682362,10.4232902381684,-318.933602306446,10.468082388157,4.2087576376016,0.258000761143336,0.154164981072717,0.6113074204947,0.513638650164692,396,3599,54.2319749216301,92.570281124498,83.2699619771863,-17.3107319918617,11.1146744112488,-15.6751058566388,5.80586670128846,70.4626334519573,71.1546065638592,1095,9890,83.2699619771863,83.5656949725391
"c3.4","dpi_idx, st_idx",-318.098509808214,10.3139374132153,-318.611896444431,10.4038773599457,4.74402036850359,0.296776694888892,0.138835236411176,0.61180679785331,0.517989467916308,399,3596,53.6050156739812,93.0722891566265,83.4980988593156,-16.6737021177137,10.6260198088568,-15.3533999946242,5.58422113932854,70.9964412811388,71.0952945828391,1098,9887,83.4980988593156,83.5403464300803
"c3.5","dpi_idx, sp_idx",-318.682568227146,10.3410115294014,-319.036491068991,10.4574261151266,5.53501520657559,0.317084581860973,0.165768790901333,0.605633802816901,0.505326255696882,392,3608,53.9184952978056,92.2690763052209,82.9657794676806,-17.2577605366453,10.4195621681997,-15.7779946191835,5.46369194408231,69.7508896797153,71.3325425069197,1091,9899,82.9657794676806,83.6417405999155
"c3.6","dpi_idx, age_idx",-317.487204094112,10.5577202947259,-317.673040237722,10.5987336864004,4.74435158207561,0.288469766894988,0.151316172462474,0.615658362989324,0.521317156365828,400,3582,54.2319749216301,92.9718875502008,83.574144486692,-16.0623964036113,10.6155979775612,-14.4145437879145,5.56989388684459,71.1743772241993,70.8185053380783,1099,9873,83.574144486692,83.4220532319392
"c3.7","dpi_idx, sex_idx",-317.571909589359,10.4523311354939,-317.971033554712,10.5078324901774,4.97472491021421,0.291906007816802,0.139496763030462,0.620567375886525,0.526572193443456,402,3644,54.858934169279,92.9718875502008,83.7262357414449,-16.1471018988584,10.479781777134,-14.7125371049046,5.52710259204505,71.5302491103203,72.0442862791617,1101,9935,83.7262357414449,83.9459231094212
"c3.8","dpi_idx, tg_idx",-316.834077712925,10.5531863518902,-317.256549156636,10.6330867997873,4.93513480265284,0.485990688366875,0.37146639497286,0.61319073083779,0.518682081977375,399,3629,53.9184952978056,92.9718875502008,83.4980988593156,-15.4092700224242,10.5989340878167,-13.998052706829,5.57389769225066,70.9964412811388,71.7477263740609,1098,9920,83.4980988593156,83.8191803971272
"c4.1","dpi_idx, assay_idx, cell_idx",-315.063530869936,10.5073858098116,-315.504160503518,10.632843684746,6.0843725384696,0.372785300960506,0.182666097497735,0.621052631578947,0.524163206307544,400,3649,55.4858934169279,92.570281124498,83.574144486692,-13.6387231794357,9.65763094602807,-12.2456640537112,5.07830833886304,71.1743772241993,72.143139580862,1099,9940,83.574144486692,83.9881706801859
"c4.2","dpi_idx, assay_idx, log10_dose_pfu",-315.493929373645,10.7463741989361,-316.069573737191,10.8169855693201,5.20869117795413,0.30076893954917,0.101905086211762,0.620567375886525,0.526572193443456,402,3632,54.858934169279,92.9718875502008,83.7262357414449,-14.0691216831451,10.2585539030852,-12.8110772873831,5.32575495483538,71.5302491103203,71.807038355081,1101,9923,83.7262357414449,83.844528939586
"c4.3","dpi_idx, assay_idx, st_idx",-312.361272133567,10.5591957536369,-312.98163881405,10.6951723791765,5.59462184533791,0.327555878738448,0.137829852480073,0.6282722513089,0.53200599180107,403,3693,56.4263322884012,92.570281124498,83.8022813688213,-10.9364644430672,8.41303523858277,-9.72314236424272,4.41861258916116,71.7081850533808,73.0130486358244,1102,9984,83.8022813688213,84.3599493029151
"c4.4","dpi_idx, assay_idx, sp_idx",-315.587594349571,10.5323668340094,-316.385730448547,10.6759537765222,6.27941428593257,0.347920899744409,0.167616678474068,0.614564831261101,0.519383537097881,399,3637,54.2319749216301,92.8714859437751,83.4980988593156,-14.1627866590709,9.73056757947397,-13.1272339987401,5.08451102855573,70.9964412811388,71.9058916567813,1098,9928,83.4980988593156,83.8867765103507
"c4.5","dpi_idx, assay_idx, age_idx",-312.255332962616,10.8142233390193,-312.674786285033,10.9014931202087,5.63603478719426,0.329310169978079,0.162379379479167,0.613718411552347,0.523243869840035,402,3682,53.2915360501567,93.4738955823293,83.7262357414449,-10.8305252721158,8.96082289183678,-9.41628983522559,4.68497670456888,71.5302491103203,72.7955713720838,1101,9973,83.7262357414449,84.2670046472328
"c4.6","dpi_idx, assay_idx, sex_idx",-314.744900166074,10.577203912656,-315.656478413655,10.6831228713445,5.9992694764556,0.332058473395386,0.170228219616235,0.616197183098592,0.518910757660944,398,3640,54.858934169279,92.570281124498,83.4220532319392,-13.3200924755732,9.61270019104563,-12.3979819638473,5.05760538593674,70.8185053380783,71.9652036378015,1097,9931,83.4220532319392,83.9121250528095
"c4.7","dpi_idx, assay_idx, tg_idx",-313.934640437075,10.6623146341964,-314.778861825366,10.7745455422722,5.88594182118806,0.503889470079777,0.331696585336414,0.625659050966608,0.530581857329549,403,3641,55.7993730407524,92.7710843373494,83.8022813688213,-12.5098327465749,9.69589997750875,-11.5203653755585,5.08875934538501,71.7081850533808,71.9849742981416,1102,9932,83.8022813688213,83.9205745669624
"c5.1","dpi_idx, assay_idx, age_idx, cell_idx",-313.071412046603,10.9232562218594,-313.364128549955,11.0023925307519,7.24842703907766,0.423411542852863,0.227112645313544,0.616487455197133,0.524547127568767,402,3677,53.9184952978056,93.2730923694779,83.7262357414449,-11.6466043561024,8.76144472816495,-10.1056321001477,4.61556205360681,71.5302491103203,72.6967180703836,1101,9968,83.7262357414449,84.2247570764681
"c5.2","dpi_idx, assay_idx, age_idx, log10_dose_pfu",-313.280520293749,11.060242577981,-313.577726613845,11.1043455075874,6.28007049533246,0.36090576818976,0.160866963961888,0.610412926391382,0.517305856608071,399,3665,53.2915360501567,93.1726907630522,83.4980988593156,-11.855712603249,9.18229130981935,-10.3192301640381,4.77543941497505,70.9964412811388,72.4594701463029,1098,9956,83.4980988593156,84.1233629066329
"c5.3","dpi_idx, assay_idx, age_idx, st_idx",-310.874087642374,11.0118327488373,-311.43449766887,11.1261924466512,6.49222318814676,0.37816776849161,0.171506343331715,0.631205673758865,0.540241518330831,408,3685,55.7993730407524,93.2730923694779,84.1825095057034,-9.44927995187356,7.96134224678001,-8.17600121906285,4.1888201931383,72.5978647686833,72.854883353104,1107,9976,84.1825095057034,84.2923531896916
