"model","predictors","elpd","elpd_se","elpd_loo","elpd_loo_se","p_loo_loo","p_loo_loo_se","pareto_k_max","F_score","MCC","n_correct_test","n_correct_train","percent_pos","percent_neg","percent_total","elpd_diff","elpd_diff_se","elpd_diff_loo","elpd_diff_se_loo","elpd_diff_best","elpd_diff_best_se","percent_test","percent_train","n_correct_test_adj","n_correct_train_adj","percent_test_adj","percent_train_adj"
"c3.6","dpi_idx, age_idx",-403.041822742251,13.9929915215251,-416.539739267149,15.009399613773,18.7326731972481,3.25268274856554,0.203534132845859,0.60573476702509,0.499960011406091,568,5099,53.9936102236422,91.8279569892473,82.3008849557522,-26.0798072104593,9.99482971825622,-26.597199250036,6.39206961115983,-24.4565416043848,9.26580445794612,73.2903225806452,73.1039426523297,1023,9194,82.3008849557522,82.1846786448556
"c3.7","dpi_idx, sex_idx",-410.119025515699,13.3769398154313,-409.684408262657,13.4002094159276,4.76716439800169,0.266934141675015,0.160392728940301,0.605309734513274,0.495799346279388,565,5113,54.6325878594249,91.2903225806452,82.059533386967,-33.1570099839078,10.8329314147176,-19.741868245544,6.23684061200097,-31.5337443778333,11.6150046860157,72.9032258064516,73.3046594982079,1020,9208,82.059533386967,82.3098239027443
"c3.8","dpi_idx, tg_idx",-414.127544153487,13.8768755801961,-414.315033134901,13.9320956334997,5.77029531631352,0.332751557353968,0.169131972037609,0.616487455197133,0.513937541226706,574,5180,54.9520766773163,92.1505376344086,82.7835880933226,-37.1655286216953,11.5974254198432,-24.372493117789,6.52139013389219,-35.5422630156208,10.7788787100602,74.0645161290323,74.2652329749104,1029,9275,82.7835880933226,82.9087333512112
"c4.1","dpi_idx, age_idx, cell_idx",-404.224482224393,14.0913167724223,-418.541817476706,15.2677834169001,21.4947918587221,3.49680496360125,0.216369838961876,0.606060606060606,0.498809717085865,567,5126,54.3130990415335,91.6129032258064,82.2204344328238,-27.2624666926017,9.94263553329145,-28.5992774595933,6.73773744000648,-25.6392010865272,9.1195298516785,73.1612903225806,73.4910394265233,1022,9221,82.2204344328238,82.4260302136408
"c4.2","dpi_idx, age_idx, assay_idx",-397.927280318125,14.2350802499334,-413.138238059347,15.4422353283038,21.0253232434528,3.62731693786552,0.295683687072262,0.632727272727273,0.539399236961783,586,5317,55.591054313099,93.2258064516129,83.7489943684634,-20.9652647863339,8.62614515630045,-23.1956980422338,5.79585139058572,-19.3419991802594,7.7704359005494,75.6129032258064,76.2293906810036,1041,9412,83.7489943684634,84.1333690891213
"c4.3","dpi_idx, age_idx, log10_dose_pfu",-404.05386486466,14.1797534636509,-417.812396380988,15.2382733144136,19.8183214459262,3.33835940007802,0.190151050587954,0.608228980322004,0.502673557523795,569,5124,54.3130990415335,91.8279569892473,82.3813354786806,-27.0918493328689,10.2049612378137,-27.8698563638749,6.43672392580127,-25.4685837267944,9.56649584138289,73.4193548387097,73.4623655913979,1024,9219,82.3813354786806,82.4081523196568
"c4.4","dpi_idx, age_idx, st_idx",-404.030737407214,14.0411426341414,-417.650420918304,15.0683156563311,19.9927691457238,3.30565908104675,0.19667152916483,0.60573476702509,0.499960011406091,568,5102,53.9936102236422,91.8279569892473,82.3008849557522,-27.068721875423,10.0187795279417,-27.7078809011913,6.40958036418269,-25.4454562693485,9.29507397320996,73.2903225806452,73.1469534050179,1023,9197,82.3008849557522,82.2114954858318
"c4.5","dpi_idx, age_idx, sp_idx",-397.27824749477,14.2111134703738,-409.001470577662,15.0501620491129,18.5668136382757,2.80900261858574,0.189877251586228,0.612676056338028,0.503924459716142,568,5182,55.591054313099,91.2903225806452,82.3008849557522,-20.3162319629788,8.28056296434324,-19.0589305605494,5.05232584773633,-18.6929663569043,7.59020991964995,73.2903225806452,74.2939068100358,1023,9277,82.3008849557522,82.9266112451953
"c4.6","dpi_idx, age_idx, sex_idx",-400.69971288817,14.1119803337079,-411.880753246444,14.9211345721831,17.7204823869214,2.79359519274417,0.256237982248805,0.602888086642599,0.498430453767594,568,5183,53.3546325878594,92.0430107526882,82.3008849557522,-23.7376973563781,9.09758535431791,-21.9382132293305,5.55872088293579,-22.1144317503036,9.68162256137846,73.2903225806452,74.3082437275986,1023,9278,82.3008849557522,82.9355501921874
"c4.7","dpi_idx, age_idx, tg_idx",-396.377045683105,14.6597206338169,-419.324444060092,16.8494493590566,29.5711661521083,5.418058214062,0.182232695264943,0.640429338103757,0.544541812691007,587,5292,57.1884984025559,92.7956989247312,83.8294448913918,-19.4150301513139,7.68429597318623,-29.3819040429799,6.65962068695009,-17.7917645452395,6.72542846925362,75.741935483871,75.8709677419355,1042,9387,83.8294448913918,83.9098954143202
