"model","predictors","elpd","elpd_se","elpd_loo","elpd_loo_se","p_loo_loo","p_loo_loo_se","pareto_k_max","n_correct_test","n_correct_train","percent_pos","percent_neg","F_score","MCC","elpd_diff","elpd_diff_se","elpd_diff_loo","elpd_diff_se_loo","elpd_diff_best","elpd_diff_best_se","n_correct_test_adj","n_correct_train_adj","percent_test","percent_train"
"l3.3","TG + SP",-262.873375729526,16.0584739423241,-262.891244640549,16.070202828172,5.82674359565374,0.635347991516415,0.289564491611298,795,7172,91.2908242612753,87.8402903811252,0.905165767154973,0.79257946333803,-24.6229748841536,7.9720925883342,-22.6913776272984,8.03127901634817,-18.6452155979823,6.4544436585493,1071,9656,89.6984924623116,89.856690861716
"l3.4","TG + AGE",-271.924796639374,16.3357258861552,-272.500829640448,16.3253512192384,6.03023360094846,0.627465717021856,0.300734855912169,789,7146,91.1353032659409,86.9328493647913,0.900845503458878,0.782455858811084,-33.6743957940016,8.0669149937126,-32.3009626271977,8.08933727895305,-27.6966365078303,7.78995776149307,1065,9630,89.1959798994975,89.6147403685092
"l3.5","TG + SEX",-281.583169189157,16.7037852090453,-283.519740069745,16.8772559773549,8.45923583692765,0.786306759917375,0.229911544259821,785,7173,90.2021772939347,87.2958257713249,0.897138437741686,0.775739077994333,-43.3327683437843,9.21788224679838,-43.3198730564949,9.47647025434333,-37.355009057613,8.08552710225558,1061,9657,88.8609715242881,89.8659966499162
"l3.6","TG + DPI",-275.300143717556,16.9099341048803,-274.444693196084,16.8387709213405,6.14638057735507,0.681230556796715,0.196883485706451,795,7172,91.601866251944,87.4773139745917,0.905457340507302,0.79258911339824,-37.0497428721836,8.4603942644774,-34.2448261828338,8.52376456174425,-31.0719835860123,7.64986623548146,1071,9656,89.6984924623116,89.856690861716
"l4.1","TG + DOSE + ST",-247.615504114986,17.9858216624536,-247.514060498695,17.8361962771884,6.22034299741427,0.894000520335586,0.281653752235797,810,7338,92.846034214619,88.7477313974592,0.91705069124424,0.817934758615806,-9.36510326961286,3.78339101963412,-7.31419348544515,3.83588552878522,-3.38734398344158,3.4110902088656,1086,9822,90.9547738693467,91.4014517029592
"l4.2","TG + DOSE + SP",-244.228160131544,17.2043081741851,-244.393711626106,17.1602705575348,6.83389104819616,0.818847686048338,0.2982798287394,812,7339,92.846034214619,89.1107078039927,0.918461538461538,0.821289260879557,-5.97775928617128,3.58401987703498,-4.19384461285572,3.60953885522444,0,0,1088,9823,91.1222780569514,91.4107574911595
"l4.3","TG + DOSE + AGE",-249.192144162065,17.4478596572117,-249.312961163171,17.3833869642093,6.57337728706977,0.76832336609106,0.212176337242039,808,7306,92.846034214619,88.3847549909256,0.915644171779141,0.814587280260799,-10.9417433166923,3.87397096270028,-9.11309414992003,3.90170166191743,-4.96398403052098,3.60079617926267,1084,9790,90.787269681742,91.1036664805509
"l4.4","TG + DOSE + SEX",-250.728385865835,17.4180862739026,-250.502413656747,17.3546878017198,6.88611807813274,0.778658497997385,0.217589304932993,807,7285,92.6905132192846,88.3847549909256,0.91481197237145,0.812881207845716,-12.4779850204627,4.25546377926428,-10.302546643497,4.23739400511877,-6.50022573429146,2.79818838374873,1083,9769,90.7035175879397,90.9082449283454
"l4.5","TG + DOSE + DPI",-250.538079791323,17.696343127416,-249.92501340838,17.5817695942814,7.0891375091763,0.859258239159799,0.226123597255055,811,7305,93.0015552099534,88.7477313974592,0.917881811204912,0.819639087294322,-12.2876789459505,4.19683407608394,-9.725146395129,4.20645808706354,-6.30991965977921,3.04213944133265,1087,9789,91.0385259631491,91.0943606923506
"l5.1","TG + DOSE + SP + ST",-242.830142462088,17.7439432581143,-243.254395008785,17.6432719242773,7.80507503768426,0.981222850344382,0.337450183399935,812,7327,92.6905132192846,89.2921960072595,0.918335901386749,0.821274842003109,-4.57974161671535,2.9965834462311,-3.05452799553394,3.08442360971769,1.39801766945592,1.99540988531963,1088,9811,91.1222780569514,91.2990880327564
"l5.2","TG + DOSE + SP + AGE",-239.768118277739,17.2502495920017,-241.345089944533,17.279875772983,9.00822115100101,0.974266730628703,0.215925025103563,816,7361,92.6905132192846,90.0181488203267,0.921174652241113,0.828021993032501,-1.51771743236648,2.02126907109226,-1.14522293128239,1.95295488076573,4.4600418538048,3.01769635601167,1092,9845,91.4572864321608,91.6154848315652
"l5.3","TG + DOSE + SP + SEX",-245.679089599038,17.2807440971546,-246.122337011668,17.2390983874381,8.5477496938406,0.891323979952518,0.236736700971652,813,7334,92.846034214619,89.2921960072595,0.919168591224019,0.822969176660466,-7.42868875366534,3.61715029207079,-5.92246999841739,3.62161230492433,-1.45092946749406,0.570277195534657,1089,9818,91.2060301507538,91.3642285501582
"l5.4","TG + DOSE + SP + DPI",-244.911636847941,17.5055373371947,-244.94138439966,17.4098997152299,8.5311325829686,0.931011120312537,0.242124313827786,812,7310,92.6905132192846,89.2921960072595,0.918335901386749,0.821274842003109,-6.66123600256836,3.41861011166618,-4.74151738640958,3.41677167905902,-0.683476716397081,1.3288393405166,1088,9794,91.1222780569514,91.140889633352
"l6.1","TG + DOSE + SP + AGE + ST",-238.250400845373,17.7852004477129,-240.199867013251,17.7808350243664,10.0977284250283,1.14707705720782,0.317531840788854,816,7369,92.846034214619,89.8366606170599,0.921296296296296,0.828019730678791,0,0,0,0,5.97775928617128,3.58401987703498,1092,9853,91.4572864321608,91.6899311371673
